Título,Rating,Porciones,Tiempo total,Ingredientes,Descripción,Pasos,Nutrición
Makhani Chicken (Indian Butter Chicken),4.5,6,5 hrs 35 mins,"['1 ¾ pounds skinless, boneless chicken breast halves - cubed', '3 tablespoons lemon juice, divided', '2 tablespoons chili powder, divided', 'salt to taste', '1 cup yogurt', '2 tablespoons olive oil', '2 tablespoons garlic paste', '2 tablespoons ginger paste', '2 tablespoons melted butter', '1 ½ teaspoons garam masala', '1 tablespoon butter', '1 tablespoon garam masala', '1 tablespoon ginger paste', '1 tablespoon chopped garlic', '1 tablespoon chopped green chile pepper', '2 cups tomato puree', '1 cup water', '1 tablespoon chili powder', 'salt to taste', '1 tablespoon honey', '½ teaspoon dried fenugreek leaves', '1 cup heavy cream']","This fragrant, spicy Indian butter chicken recipe with yogurt marinade is from the owner of India Cuisine restaurant in Seattle, Washington. Serve with hot Indian bread.","['Make marinade: Place chicken in a nonporous glass dish or bowl. Add 1 tablespoon lemon juice, 1 tablespoon chili powder, and salt; stir to evenly coat chicken. Cover the dish and let marinate in the refrigerator for about 1 hour.', 'Line a strainer with cheesecloth. Place yogurt in the strainer and allow it to drain for 15 to 20 minutes. Transfer drained yogurt to a medium bowl. Mix remaining 2 tablespoons lemon juice, oil, garlic paste, ginger paste, melted butter, remaining 1 tablespoon chili powder, and garam masala into yogurt until well combined. Pour yogurt mixture over chicken, cover the dish, and refrigerate once more to marinate for 3 to 4 hours.', 'Preheat the oven to 400 degrees F (200 degrees C).', 'Place chicken on skewers; arrange in a 9x13-inch baking dish.', 'Bake in the preheated oven until almost cooked through, about 20 minutes.', 'Make sauce: Melt butter in a medium saucepan over medium heat. Stir in garam masala. When masala begins to crackle, mix in ginger paste, garlic, and green chile pepper. Sauté until tender, 2 to 3 minutes; stir in tomato purée, water, chili powder, and salt. Bring to a boil; reduce heat to low and simmer, stirring in honey and fenugreek.', 'Remove par-cooked chicken from skewers and place into sauce in the pan. Continue cooking until chicken is no longer pink inside, about 5 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Stir in cream until incorporated.']","{'Calories': '492', 'Fat': '28g', 'Carbs': '19g', 'Protein': '36g'}"
Chef John's Nashville Hot Chicken,4.5,4,3 hrs,"['1  whole chicken, cut into 8 pieces', '1 cup buttermilk', '¼ cup pickle brine', '2 tablespoons Louisiana-style hot sauce', '1  large egg', '2 cups all-purpose flour', '2 teaspoons fine table salt', '¼ cup butter', '¼ cup lard', '2 tablespoons cayenne pepper', '1 tablespoon packed light brown sugar', '1 teaspoon paprika', '½ teaspoon garlic powder', '½ teaspoon kosher salt', '½ teaspoon freshly ground black pepper', '1 cup vegetable oil for frying, or as needed']","If you've never had Nashville Hot Chicken, we're talking about mouthwateringly, ultra-crispy, fiery fried chicken with a cayenne-infused glaze, and by 'glaze' I mean melted butter and lard. While i've never been to Nashville myself, this recipe works well for me. Serve chicken pieces on white bread and brush with extra sauce if you like. Serve with pickles.","['Arrange chicken pieces in a large bowl.', 'Whisk buttermilk, pickle brine, hot sauce, and egg together in a mixing bowl. Pour marinade over chicken and stir to ensure each piece is thoroughly coated. Cover and let chicken marinate in refrigerator 2 to 4 hours.', 'Mix flour and salt together in a shallow flat dish. Remove chicken from marinade and blot with paper towels. Reserve marinade. Toss chicken in flour until thoroughly coated. Return chicken to marinade, coating all sides; remove chicken from marinade allowing excess to drip back into the bowl. Coat the chicken once again in flour mixture. Place on a rack. Repeat with all chicken pieces. Allow to sit out about 15 minutes to allow coating to dry out a bit.', 'Place butter and lard in a large pot. Add cayenne pepper, brown sugar, paprika, garlic powder, kosher salt, and black pepper. Place over medium-high heat. Cook and stir until fats melt. Remove from heat; keep sauce warm.', 'Fill cast iron skillet about 1/3 of the way with vegetable oil. Heat oil to 350 degrees F over medium-high heat. Carefully place chicken into hot oil, skin side down. Maintain an oil temperature of 325 degrees F, adjusting heat as need. Fry until instant read thermometer reads 160 degrees F, 8 to 10 minutes per side.', 'Transfer chicken to a rack to drain. Brush with the sauce on both sides.', 'Enjoy!']","{'Calories': '1115', 'Fat': '66g', 'Carbs': '75g', 'Protein': '54g'}"
Spicy Thai Basil Chicken (Pad Krapow Gai),4.8,2,25 mins,"['⅓ cup chicken broth', '1 tablespoon oyster sauce', '1 tablespoon soy sauce, or as needed', '2 teaspoons fish sauce', '1 teaspoon white sugar', '1 teaspoon brown sugar', '2 tablespoons vegetable oil', '1 pound skinless, boneless chicken thighs, coarsely chopped', '¼ cup sliced shallots', '4 cloves garlic, minced', '2 tablespoons minced Thai chilies, Serrano, or other hot pepper', '1 cup very thinly sliced fresh basil leaves', '2 cups hot cooked rice']",My version of this classic Thai dish has spectacular taste even with regular basil instead of Thai or holy basil. The sauce actually acts like a glaze as the chicken mixture cooks over high heat. The recipe works best if you chop or grind your own chicken and have all ingredients prepped before you start cooking.,"['Gather ingredients.', 'Whisk chicken broth, oyster sauce, soy sauce, fish sauce, white sugar, and brown sugar together in a bowl until well blended.', 'Heat large skillet over high heat. Drizzle in oil. Add chicken and stir fry until it loses its raw color, 2 to 3 minutes.', 'Stir in shallots, garlic, and sliced chilies. Continue cooking on high heat until some of the juices start to caramelize in the bottom of the pan, about 2 or 3 more minutes.', 'Add about a tablespoon of the sauce mixture to the skillet; cook and stir until sauce begins to caramelize, about 1 minute.', 'Pour in the rest of the sauce. Cook and stir until sauce has deglazed the bottom of the pan. Continue to cook until sauce glazes onto the meat, 1 or 2 more minutes. Remove from heat.', 'Stir in basil. Cook and stir until basil is wilted, about 20 seconds. Serve with rice.', 'Serve hot and enjoy!']","{'Calories': '715', 'Fat': '30g', 'Carbs': '59g', 'Protein': '50g'}"
Crispy Baked Chicken Thighs,4.8,6,1 hr,"['6  skin-on, bone-in chicken thighs', 'salt and ground black pepper to taste', '1 pinch garlic powder, or to taste']","Simply seasoned with salt, pepper, and garlic powder, bone-in, skin-on chicken thighs are baked until the skin turns wonderfully crisp and golden.","['Preheat oven to 475 degrees F (245 degrees C). Set a wire rack inside a broiler pan or baking pan.', 'Pat chicken thighs dry with paper towels. Lift up skin gently; sprinkle salt, pepper, and garlic powder under the skin. Replace skin. Season skin and underside of the thighs with salt, pepper, and garlic powder.', 'Arrange on the rack.', 'Roast in the preheated oven until golden, about 20 minutes. Reduce oven temperature to 400 degrees F (200 degrees C). Continue roasting until juices run clear, about 30 minutes more. Let rest for 5 minutes before serving.', 'Serve hot and enjoy!']","{'Calories': '189', 'Fat': '12g', 'Carbs': '0g', 'Protein': '19g'}"
Keto Chicken Parmesan,4.9,2,30 mins,"['1 (8 ounce) skinless, boneless chicken breast', '1 large egg', '1 tablespoon heavy whipping cream', '1 ½ ounces pork rinds, crushed', '1 ounce grated Parmesan cheese', '½ teaspoon salt', '½ teaspoon garlic powder', '½ teaspoon red pepper flakes (Optional)', '½ teaspoon ground black pepper', '½ teaspoon Italian seasoning', '1 tablespoon ghee (clarified butter)', ""½ cup jarred tomato sauce (such as Rao's®)"", '¼ cup shredded mozzarella cheese']","A delicious keto chicken Parmesan. Enjoy a classic Italian dish, and keep your macros in check!","[""Set the oven rack about 6 inches from the heat source and preheat the oven's broiler."", 'Slice chicken breast through the middle horizontally from one side to within 1/2 inch of the other side. Open the two sides and spread them out like an open book. Pound chicken flat until about 1/2-inch thick.', 'Beat egg and cream together in a bowl.', 'Combine crushed pork rinds, Parmesan cheese, salt, garlic powder, red pepper, black pepper, and Italian seasoning in a separate shallow bowl or plate.', 'Dip chicken into egg mixture; coat completely. Press chicken into breading; thickly coat both sides.', 'Heat a skillet over medium-high heat; add ghee. Place chicken in the pan; cook until no longer pink in the center and the juices run clear, about 3 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Be careful to keep breading in place.', 'Transfer chicken to a baking sheet. Cover with tomato sauce; top with mozzarella cheese.', 'Broil until cheese is bubbling and barely browned, about 2 minutes.']","{'Calories': '442', 'Fat': '25g', 'Carbs': '6g', 'Protein': '47g'}"
Chicken Pot Pie,4.8,8,1 hr 20 mins,"['1 pound skinless, boneless chicken breast halves - cubed', '1 cup sliced carrots', '1 cup frozen green peas', '½ cup sliced celery', '⅓ cup butter', '⅓ cup chopped onion', '⅓ cup all-purpose flour', '½ teaspoon salt', '¼ teaspoon black pepper', '¼ teaspoon celery seed', '1 ¾ cups chicken broth', '⅔ cup milk', '2 (9-inch)  unbaked pie crusts']","A delicious chicken pie made from scratch with carrots, peas, and celery in a pre-made crust. Add thyme and poultry seasoning for more flavor.","['Gather all ingredients and preheat the oven to 425 degrees F (220 degrees C.)', 'Combine chicken, carrots, peas, and celery in a saucepan; add water to cover and bring to a boil. Boil for 15 minutes, then remove from the heat and drain.', 'While chicken is cooking, melt butter in another saucepan over medium heat. Add onion and cook until soft and translucent, 5 to 7 minutes. Stir in flour, salt, pepper, and celery seed.', 'Slowly stir in chicken broth and milk.', 'Reduce heat to medium-low and simmer until thick, 5 to 10 minutes. Remove from heat and set aside.', 'Place chicken and vegetables in the bottom pie crust. Pour hot broth mixture over top.', 'Cover with top crust, seal the edges, and cut away any excess dough. Make several small slits in the top crust to allow steam to escape.', 'Bake in the preheated oven until pastry is golden brown and filling is bubbly, 30 to 35 minutes. Cool for 10 minutes before serving.', 'Enjoy!']","{'Calories': '412', 'Fat': '24g', 'Carbs': '30g', 'Protein': '18g'}"
Chicken Soup with Chicken Thighs,4.7,8,1 hr 45 mins,"['2 quarts water', '5  chicken thighs', '6  carrots, chopped', '3 stalks celery, chopped', '1 large onion, chopped', '½  green bell pepper, chopped', '4 cubes  chicken bouillon, crumbled', '3 cloves garlic, minced', '1 (10 ounce) package frozen chopped spinach', '4 ounces thin egg noodles', '8 ounces meat tortellini', 'salt and pepper to taste']","Delicious chicken soup with chicken thighs, tortellini, and spinach. Top with Parmesan cheese.","['Fill a large pot with water and place chicken thighs in the pot. Bring to a boil, then reduce heat and simmer until meat falls from the bone, about 45 minutes. Remove chicken, cut up meat, and return meat to the pot.', 'Stir carrots, celery, onion, bell pepper, chicken bouillon, and garlic into the pot; simmer until vegetables are tender, 10 to 15 minutes.', 'Stir in frozen spinach and cook until tender, 5 to 10 minutes.', 'Meanwhile, bring a large pot of water to a boil. Cook egg noodles in water until al dente, 8 to 10 minutes. Drain and set aside.', 'Stir tortellini into soup and cook until tender, 10 to 15 minutes. Stir in cooked egg noodles, salt, and pepper. Heat through and serve.']","{'Calories': '225', 'Fat': '7g', 'Carbs': '23g', 'Protein': '18g'}"
Quick and Easy Chicken Noodle Soup,4.8,6,40 mins,"['1 tablespoon butter', '½ cup chopped onion', '½ cup chopped celery', '4 (14.5 ounce) cans chicken broth', '1 (14.5 ounce) can vegetable broth', '½ pound chopped cooked chicken breast', '1 ½ cups egg noodles', '1 cup sliced carrots', '½ teaspoon dried basil', '½ teaspoon dried oregano', 'salt and ground black pepper to taste']","A chicken noodle soup recipe that's a very easy, very good substitute for when you don't have time to make your soup totally from scratch.","['Melt butter in a large pot over medium heat. Add onion and celery and cook until just tender, about 5 minutes.', 'Add chicken broth, vegetable broth, chicken, egg noodles, carrots, basil, oregano, salt, and pepper. Stir to combine and bring to a boil.', 'Reduce heat and simmer for 20 minutes.']","{'Calories': '162', 'Fat': '6g', 'Carbs': '12g', 'Protein': '13g'}"
Keto Smothered Chicken Thighs,4.8,4,1 hr,"['4 (8 ounce) skin-on, bone-in chicken thighs', '1 teaspoon paprika', 'salt and pepper to taste', '4 slices bacon, cut into 1/2 inch pieces', '⅓ cup low-sodium chicken broth', '4 ounces sliced mushrooms', '¼ cup heavy whipping cream', '2  green onions, white and green parts separated and sliced']","This keto chicken thigh recipe is sure to become a favorite. Crispy pan-fried, bone-in chicken thighs are topped with bacon, mushrooms, green onions, and a creamy sauce.","['Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C).', 'Season chicken thighs on all sides with paprika, salt, and pepper.', 'Cook bacon in a cast iron skillet or oven-safe pan over medium-high heat until browned, 4 to 5 minutes. Remove from skillet and drain on a paper towel-lined plate. Drain and discard excess grease from the skillet.', 'Return the skillet to medium heat and cook chicken thighs, skin-side down, for 3 to 4 minutes. Flip chicken over and place the skillet in the preheated oven.', 'Bake until chicken thighs are no longer pink at the bone and juices run clear, about 30 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C). Remove chicken to a plate and cover with foil to keep warm. Remove all but 2 tablespoons of drippings from the skillet.', 'Return the skillet to the stove over medium-high heat. Pour in chicken broth while whisking up brown bits from the bottom of the skillet. Add mushrooms and cook until soft, about 3 to 4 minutes. Pour in heavy whipping cream and whisk together until lightly simmering, then reduce heat to medium-low. Season with salt and pepper, if necessary.', 'Return chicken and any juices back into the skillet; top with bacon and green onions. Serve immediately, spooning sauce over chicken.']","{'Calories': '466', 'Fat': '32g', 'Carbs': '2g', 'Protein': '41g'}"
Healthy Chicken Salad,4.4,4,15 mins,"['1 (6 ounce) container fat-free Greek yogurt (such as Fage®)', '½ cup low-fat cottage cheese', '½ cup chopped celery', '½ cup diced apple', '¼ cup sweetened dried cranberries (such as Craisins®)', '2 tablespoons chopped onion', '2 tablespoons chopped pecans', '½ tablespoon Dijon mustard', '1 ¼ cups cubed, cooked chicken', 'salt and ground black pepper to taste']","This healthy chicken salad recipe is made with a mixture of Greek yogurt and cottage cheese instead of regular mayonnaise, resulting in a healthier version that's still creamy and delicious but higher in protein. Apples and dried cranberries add a sweet-tart flavor, while chopped pecans provide textural interest in every bite. Serve it on crackers, on a croissant, in a pita, or grab a fork and just dig in!","['Gather all ingredients.', 'Stir Greek yogurt, cottage cheese, celery, apple, cranberries, onion, pecans, and Dijon mustard in a bowl until well combined.', 'Mix in chicken. Season with salt and pepper.', 'Enjoy!']","{'Calories': '168', 'Fat': '6g', 'Carbs': '13g', 'Protein': '15g'}"
Air Fryer Chicken Thighs,4.8,4,30 mins,"['4  skin-on, boneless chicken thighs', '2 teaspoons extra-virgin olive oil', '1 teaspoon smoked paprika', '¾ teaspoon garlic powder', '½ teaspoon salt', '½ teaspoon ground black pepper']",These air fryer chicken thighs are tender and juicy with delicious crispy skin. You'll love this quick and easy chicken thigh recipe that is ready in less than 30 minutes thanks to your trusty air fryer!,"['Gather all ingredients and preheat an air fryer to 400 degrees F (200 degrees C).', 'Pat chicken thighs dry with a paper towel and brush skins with olive oil. Place chicken thighs, skin-side down, in a single layer on a plate.', 'Combine smoked paprika, garlic powder, salt, and pepper in a bowl. Sprinkle 1/2 of the seasoning mixture evenly over thighs. Turn thighs over and evenly sprinkle with remaining seasoning. Arrange thighs, skin-side up, in a single layer in the air fryer basket.', 'Cook in the preheated air fryer until thighs are brown and the juices run clear, about 18 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).', 'Serve and enjoy!']","{'Calories': '213', 'Fat': '14g', 'Carbs': '1g', 'Protein': '19g'}"
Bang Bang Chicken,4.7,4,40 mins,"['⅓ cup milk', '1 large egg', '1 pound boneless, skinless chicken breasts, cut into 1-inch cubes', '¼ cup potato starch', '¼ cup all-purpose flour', '½ teaspoon salt', '¼ teaspoon ground black pepper', '¼ teaspoon shichimi togarashi (Japanese red pepper condiment)', '2 cups oil for frying, or as needed', '¼ cup mayonnaise', '2 tablespoons honey', '2 tablespoons sweet chili sauce', '1 teaspoon gochujang (Korean hot pepper paste)']","This bang bang chicken is a wonderful Americanized version of an extremely popular Sichuan Chinese dish. With twice-fried chicken, you get the crispy fried breading you'd expect, and the bang bang sauce drizzle makes the entire dish spectacular. You'll love this more than any restaurant version. Pay attention to the notes in the directions.","['Whisk together milk and egg in a large bowl until well combined. Add chicken; stir to coat and allow to marinate for 15 minutes. Drain and discard egg mixture.', 'Combine potato starch, flour, salt, pepper, and shichimi in a medium bowl. Pour into a large plastic resealable bag. Add chicken; seal the bag and shake until chicken is well coated.', 'Heat 2 inches oil in a deep saucepan over medium heat to 325 degrees F (165 degrees C). Working in batches of about 5 to 8 pieces at a time, cook chicken in hot oil for about 90 seconds. Remove to a paper towel-lined plate; keep each batch separate.', 'Increase oil temperature to 350 degrees F (175 degrees C). The oil should be continuously boiling at this point. Carefully re-add the first batch of chicken and fry for another 90 seconds.', 'Remove to another paper towel-lined plate. Repeat with remaining batches of chicken.', 'Mix together mayonnaise, honey, sweet chili sauce, and gochujang in a large serving bowl until combined.', 'Toss fried chicken with sauce to coat. Serve and enjoy!']","{'Calories': '404', 'Fat': '21g', 'Carbs': '27g', 'Protein': '27g'}"
Sheet Pan Parmesan Chicken and Veggies,4.5,6,50 mins,"['1 tablespoon dried oregano', '1 tablespoon dried parsley', '1 teaspoon paprika', '½ teaspoon garlic powder', '¼ teaspoon seasoned salt, or to taste', '¼ teaspoon ground black pepper, or to taste', '½ pound fresh green beans, trimmed', '1 small red potato, diced', '1  sweet bell pepper, chopped', '1 cup broccoli florets, chopped', '1 tablespoon minced garlic', '3 tablespoons olive oil', '⅓ cup all-purpose flour', '4 tablespoons butter, melted', '1 cup panko bread crumbs', '1 cup freshly grated Parmesan cheese, divided', '1 ½ pounds skinless, boneless chicken breasts, pounded flat and excess fat removed', '1/2 cup mayonnaise (Optional)', '1/4 cup ketchup (Optional)', '1/2 tsp garlic powder (Optional)', '1/4 tsp Worcestershire sauce (Optional)']",This extra-crispy sheet pan chicken and veggies dinner is baked on one pan and packed with flavor!,"['Preheat the oven to 400 degrees F (200 degrees C). Line a sheet pan with parchment paper.', 'Combine oregano, parsley, paprika, garlic powder, seasoned salt, and pepper in a small bowl.', 'Place green beans, potato, bell pepper, broccoli, and garlic onto the prepared sheet pan. Drizzle with olive oil and sprinkle with 1/2 of the seasoning mix; toss to coat.', 'Place flour into a bowl. Place melted butter into a second bowl. Mix panko, 2/3 cup Parmesan cheese, and the remaining seasoning mix together in a third bowl.', 'Slice chicken into 1 1/4-inch strips, then coat in flour. Dredge floured strips in melted butter, dripping excess butter back into the bowl. Press into Parmesan-panko mixture until heavily coated on both sides.', 'Push veggies to one half of the sheet pan. Place coated chicken strips onto the other side. Sprinkle any remaining Parmesan-panko mixture over chicken, pressing to adhere.', 'Bake in the preheated oven for 10 minutes. Flip chicken strips and stir veggies, then continue to bake until chicken juices run clear and veggies are crisp-tender, 10 to 15 more minutes. An instant-read thermometer inserted into the center of the chicken should read at least 165 degrees F (74 degrees C).', 'Meanwhile, make the dipping sauce: Whisk mayonnaise, ketchup, garlic powder, and Worcestershire sauce together in a small bowl.', 'Remove chicken and veggies from the oven. Toss veggies with remaining 1/3 cup Parmesan cheese. Serve with dipping sauce.']","{'Calories': '535', 'Fat': '25g', 'Carbs': '33g', 'Protein': '45g'}"
Marry Me Chicken,4.8,6,35 mins,"['1 ½ pounds skinless, boneless chicken breast halves', '2 tablespoons butter', '3 cloves garlic, minced', '½ teaspoon dried oregano', '¼ teaspoon ground thyme', '½ cup chicken broth, divided', '½ pound bacon', '1 (16 ounce) package angel hair pasta', '1 tablespoon all-purpose flour', '½ cup freshly shaved Parmesan cheese', '¼ cup whipping cream', '¼ cup chopped sun-dried tomatoes', '1 pinch red pepper flakes', 'salt to taste']","Marry me chicken is sautéed chicken in a creamy sun-dried tomato sauce. You can serve it with pasta as suggested or on its own. They say the way to someone's heart is through their stomach, and this is worthy of a marriage proposal!","['Gather ingredients. Preheat the oven to 350 degrees F (175 degrees C).', 'Place chicken breasts on a flat work surface. Slice horizontally through the middle, being careful not to cut all the way through to the other side. Open the 2 sides and spread them out like an open book to butterfly.', 'Melt butter in a large, oven-safe skillet over medium-high heat. Add garlic, oregano, thyme. Sauté until fragrant, about 30 seconds.', 'Add chicken and cook until golden brown but not fully cooked, 3 to 4 minutes per side.', 'Pour 1/4 cup chicken broth into the skillet and bake in the preheated oven until chicken is no longer pink in the centers and juices run clear, about 15 minutes.', 'Meanwhile, place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels and let cool enough to handle, about 5 minutes; chop.', 'At the same time, bring a large pot of lightly salted water to a boil. Cook angel hair pasta in the boiling water, stirring occasionally, until tender yet firm to the bite, 4 to 5 minutes. Drain and keep warm.', 'Remove skillet from the oven and transfer chicken to a plate, reserving juices in the skillet. Keep chicken warm and place skillet on the stovetop.', 'Whisk flour into the skillet over medium heat. Add remaining chicken broth, Parmesan cheese, and whipping cream. Whisk until combined.', 'Add sun-dried tomatoes, red pepper flakes, and salt. Add bacon and chicken back into the skillet.', 'Serve on top of hot cooked pasta.']","{'Calories': '518', 'Fat': '20g', 'Carbs': '45g', 'Protein': '40g'}"
"Chicken, Broccoli, and Cheddar Casserole",4.7,8,50 mins,"['3 cups cooked shredded chicken', '2 cups cooked chopped broccoli', '2 (10.5 ounce) cans condensed cream of chicken soup', '1/2 cup sour cream', '1 pinch ground black pepper to taste', '2 1/2 cups shredded Cheddar cheese', '1 1/2 cups bread crumbs', '1/4 cup salted butter, melted']","Tender chicken, broccoli, and cheese in a casserole equals super comfort food, but you don't mind because it has broccoli, right? My grandmother passed this recipe down, and it's a family favorite ever since! I typically serve this over rice, but it is just as good by itself.","['Preheat the oven to 375 degrees F (190 degrees C).', 'Combine chicken, broccoli, condensed soup, sour cream, and pepper in a bowl. Mix in 1 cup Cheddar cheese. Pour into a 2-quart casserole dish and top with remaining Cheddar cheese.', 'Combine bread crumbs and butter in a bowl. Sprinkle over casserole.', 'Bake in the preheated oven until bubbly and cheese is melted, 30 to 35 minutes.']","{'Calories': '474', 'Fat': '30g', 'Carbs': '22g', 'Protein': '29g'}"
Garlic-Brown Sugar Chicken Thighs,4.7,8,40 mins,"['8 (5 ounce) bone-in, skin-on chicken thighs', 'salt and ground black pepper to taste', '3 tablespoons unsalted butter, divided', '4 cloves garlic, minced', '¼ cup packed brown sugar', '1 tablespoon honey', '½ teaspoon dried oregano', '¼ teaspoon dried thyme', '¼ teaspoon dried basil']",Brown sugar chicken baked in a sweet honey-garlic sauce develops a deliciously browned and crispy skin as it cooks in the oven. I love the crunchy chicken skin and brown sugar pan sauce that comes out of this.,"['Gather all ingredients.', 'Preheat the oven to 400 degrees F (200 degrees C).', 'Season chicken thighs with salt and pepper.', 'Melt 2 tablespoons butter in a large oven-proof skillet over medium-high heat. Add chicken, skin-side down, and sear until just browned, 2 to 3 minutes per side. Remove chicken to a plate.', 'Melt remaining 1 tablespoon butter in the skillet, stirring to loosen any browned bits on the bottom. Add garlic; cook and stir until fragrant, about 30 seconds. Stir in brown sugar, honey, oregano, thyme, and basil until well combined. Turn off the heat and return chicken to the skillet, skin-side down.', 'Roast in the preheated oven until chicken is no longer pink at the bone and the juices run clear, 20 to 25 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).', 'Drizzle pan sauce over chicken thighs when serving.']","{'Calories': '264', 'Fat': '16g', 'Carbs': '10g', 'Protein': '19g'}"
Chef John's Chicken Paprikash,4.8,8,1 hr 35 mins,"['8 (5 ounce) bone-in, skin-on chicken thighs', 'salt to taste', '2 tablespoons olive oil', '2 medium yellow onions, diced', '3 cloves garlic, minced', '2 tablespoons tomato paste', '4 teaspoons all-purpose flour', '1 teaspoon kosher salt, or to taste', '½ teaspoon freshly ground black pepper', '1 teaspoon smoked paprika', '¼ cup sweet Hungarian paprika', '1 pinch cayenne pepper', '2 cups chicken broth', '⅔ cup sour cream, room temperature', '¼ cup heavy whipping cream']","After many, many requests, I'm excited to be sharing what is my second favorite Hungarian dish of all time. I really love making anything Hungarian, since the recipes tend to be simple and easy to make, as well as comforting and delicious, and the names are never not fun to say. Top with extra sour cream and freshly sliced chives on top.","['Season chicken generously on both sides with salt. Heat olive oil in a heavy, deep-sided pan (that comes with a lid) over high heat and brown the chicken well, skin-side down, about 5 minutes; flip and continue to sear until other side is browned, 3 to 4 minutes more. Turn off heat. Transfer the browned chicken to a plate and reserve until needed; spoon out excess chicken fat if desired.', 'Add onions and a pinch of salt to the same pan and saute over medium until golden, about 5 minutes. Add garlic, tomato paste, and flour and cook, stirring, another 3 to 4 minutes to form a tomato roux. Stir in 1 teaspoon kosher salt, freshly ground black pepper, smoked paprika, and sweet paprika and cook for 1 minute. Add chicken broth and bring to a simmer over high heat.', 'Reduce heat to medium-low and transfer chicken and accumulated juices back into the pan. Baste the tops with the sauce, cover the pan with the lid, and simmer, basting occasionally with the sauce, until the chicken is no longer pink in the centers and is fork-tender, 45 to 60 minutes. Remove the chicken and transfer to a plate.', 'Skim some fat off the top of the sauce if desired. Whisk heavy cream and sour cream into the sauce and bring to a simmer, stirring occasionally. Transfer the chicken and any juices back into the sauce. Simmer, uncovered, basting often, until chicken is heated through and very tender, about 10 minutes. Taste and adjust seasoning if needed.']","{'Calories': '353', 'Fat': '25g', 'Carbs': '8g', 'Protein': '24g'}"
Roast Sticky Chicken-Rotisserie Style,4.7,8,9 hrs 20 mins,"['4 teaspoons salt', '2 teaspoons paprika', '1 teaspoon onion powder', '1 teaspoon dried thyme', '1 teaspoon white pepper', '½ teaspoon black pepper', '½ teaspoon cayenne pepper', '½ teaspoon garlic powder', '2 (4 pound) whole chickens', '2  onions, quartered']","Rotisserie chicken seasoning makes the most flavorful whole chicken. Ever wish you could get that restaurant-style rotisserie chicken at home? With minimal preparation and about 5 hours of cooking time (great for the weekends), you can. I don't bother to baste the bird, though some like to for the first hour. The pan juices always caramelize at the bottom, and the chicken turns golden brown and fall-off-the-bone good!","['Gather the ingredients.', 'Mix together salt, paprika, onion powder, thyme, white pepper, black pepper, cayenne pepper, and garlic powder in a small bowl; set aside.', 'Remove and discard giblets from chicken. Rinse chicken cavity; pat dry with paper towels. Rub each chicken inside and out with spice mixture. Place 1 onion into the cavity of each chicken. Place chickens in resealable plastic bags or double wrap with plastic wrap. Refrigerate overnight, or at least 4 to 6 hours.', 'Preheat the oven to 250 degrees F (120 degrees C). Place chickens in a roasting pan.', 'Bake uncovered until an instant-read thermometer inserted into the meat near the bone reads at least 165 degrees F (74 degrees C), about 5 hours. Let chickens rest for 10 minutes before carving.']","{'Calories': '586', 'Fat': '34g', 'Carbs': '4g', 'Protein': '62g'}"
Chicken Makhani (Indian Butter Chicken),4.5,4,35 mins,"['2 tablespoons peanut oil, divided', '1  shallot, finely chopped', '¼  white onion, chopped', '2 tablespoons butter', '1 tablespoon ginger garlic paste', '2 teaspoons lemon juice', '2 teaspoons garam masala, divided', '1 teaspoon chili powder', '1 teaspoon ground cumin', '1  bay leaf', '1 cup tomato puree', '1 cup half-and-half', '¼ cup plain yogurt', '1 pinch salt and ground black pepper to taste', '1 pound boneless, skinless chicken thighs, cut into bite-size pieces', '¼ teaspoon cayenne pepper, or to taste', '1 tablespoon cornstarch', '¼ cup water']","This butter chicken recipe, or chicken makhani, is one of my favorite Indian dishes. It features a full-flavored sauce that complements the chicken well. It can be made as mild or spicy as you wish by adjusting the cayenne. Serve with basmati rice and naan bread.","['Heat 1 tablespoon oil in a large saucepan over medium-high heat. Sauté shallot and onion until soft and translucent, about 5 minutes.', 'Stir in butter, ginger-garlic paste, lemon juice, 1 teaspoon garam masala, chili powder, cumin, and bay leaf. Cook and stir for 1 minute. Add tomato sauce, and cook for 2 minutes, continuing to frequently stir.', 'Stir in half-and-half and yogurt. Reduce heat to low, and simmer for 10 minutes, frequently stirring. Season with salt and pepper. Remove from heat and set aside.', 'Heat remaining 1 tablespoon oil in a large heavy skillet over medium heat. Cook chicken until lightly browned, about 10 minutes.', 'Reduce heat, and season with remaining 1 teaspoon garam masala and cayenne. Stir in a few spoonfuls of sauce, and simmer until liquid has reduced, and chicken is no longer pink. Add cooked chicken into sauce and stir together.', 'Dissolve cornstarch into water, then mix into the sauce. Cook for 5 to 10 minutes, or until thickened.', 'Serve over rice with naan.']","{'Calories': '408', 'Fat': '28g', 'Carbs': '16g', 'Protein': '23g'}"
